2006/02/24 22:59;2006/03/05 17:47;F2;Manzanar Base;36.721667;-118.141667;1146
2006/03/05 21:47;2006/03/20 02:22;F6;Division Creek Road;36.939950;-118.270817;1221
2006/03/20 02:51;2006/03/21 20:20;OV2;Onion Valley Rd;36.788000;-118.222000;1302
2006/03/21 20:50;2006/03/23 23:17;F2;Manzanar Base;36.721667;-118.141667;1146
2006/03/24 05:53;2006/03/27 20:28;D;Onion Vly Rd & 395;36.786667;-118.200000;1217
2006/03/28 00:58;2006/03/30 22:47;F2;Manzanar Base;36.721667;-118.141667;1146
2006/03/31 02:39;2006/04/04 01:17;F6;Division Creek Road;36.939950;-118.270817;1221
2006/04/04 13:19;2006/04/07 19:17;F2;Manzanar Base;36.721667;-118.141667;1146
2006/04/07 22:27;2006/04/10 18:47;F6;Division Creek Road;36.939950;-118.270817;1221
2006/04/10 22:59;2006/04/12 20:43;B;Mazourka Canyon Rd/Kiersarge Mine;36.808333;-118.110000;1140
2006/04/12 23:21;2006/04/14 21:41;F2;Manzanar Base;36.721667;-118.141667;1146
2006/04/14 23:57;2006/04/17 20:47;OV2;Onion Valley Rd;36.788000;-118.222000;1302
2006/04/17 23:28;2006/04/24 15:17;F2;Manzanar Base;36.721667;-118.141667;1146
2006/04/24 18:47;2006/04/28 08:17;B;Mazourka Canyon Rd/Kiersarge Mine;36.808333;-118.110000;1140
2006/04/28 18:48;2006/05/01 15:47;F2;Manzanar Base;36.721667;-118.141667;1146
