2016-03-13_0000z-2.txt 34.91007,-88.547947 137m Corinth, MS
2016-03-13_0000z.txt   35.443365,-88.66082 137m Henderson, TN
2016-03-13_0300.txt 35.443288,-88.660845 137m Henderson, TN
2016-03-13_0420z.txt 35.44332,-88.660888 137m Henderson, TN
2016-03-13_0430z.txt 34.91997,-88.552165 141m Corinth, MS
2016-03-24_1200z.txt 34.587998,-86.99142 174m Decatur, AL
2016-03-24_1630z.txt 34.587858,-86.991482 174m Decatur, AL
2016-03-24_1700z.txt 34.587897,-86.991617 174m Decatur, AL
2016-03-24_1730z.txt 34.587807,-86.991562 174m Decatur, AL
2016-03-24_1800z.txt 34.587807,-86.991548 174m Decatur, AL
2016-03-24_1820z.txt 34.588138,-86.991517 174m Decatur, AL
2016-03-24_1830z.txt 34.587812,-86.991642 174m Decatur, AL
2016-03-31_1800z-2.txt 33.965408,-87.928855 130m Guin, AL
2016-03-31_1800z.txt 34.282898,-87.830945 288m Hackleburg, AL
2016-03-31_1900z-2.txt 34.282937,-87.830942 288m Hackleburg, AL
2016-03-31_1900z.txt 33.96555,-87.928757 130m Guin, AL
2016-03-31_2000z-2.txt 33.965622,-87.928747 130m Guin, AL
2016-03-31_2000z.txt 34.2828,-87.830975 288m Hackleburg, AL
2016-03-31_2100z-2.txt 33.965357,-87.92891 130m Guin, AL
2016-03-31_2100z.txt 34.283003,-87.83139 288m Hackleburg, AL
2016-03-31_2200z-2.txt 34.283202,-87.831318 288m Hackleburg, AL
2016-03-31_2200z.txt 33.965553,-87.928975 130m Guin, AL
2016-03-31_2300z-2.txt 34.283127,-87.831275 288m Hackleburg, AL
2016-03-31_2300z.txt 33.965382,-87.92889 130m Guin, AL
2016-03-31_2330z.txt 33.96551,-87.928845 130m Guin, AL
2016-04-01_0200z.txt 34.164033,-87.42287 241m Double Springs, AL
2016-04-27_1800z-2.txt 34.296117,-87.587005 286m Haleyville, AL
2016-04-27_1800z.txt 34.214235,-87.161323 245m Addison, AL
2016-04-27_1900z-2.txt 34.21425,-87.161233 245m Addison, AL
2016-04-27_1900z.txt 34.295897,-87.587025 286m Haleyville, AL
2016-04-27_2000z.txt 34.21436,-87.161248 245m Addison, AL
2016-04-27_2100z-2.txt 34.295768,-87.587178 286m Haleyville, AL
2016-04-27_2100z.txt 34.214257,-87.161253 245m Addison, AL
2016-04-27_2200z.txt 34.295438,-87.58709 286m Haleyville, AL
2016-04-27_2300z-2.txt 34.214197,-87.161373 245m Addison, AL
2016-04-27_2300z.txt 34.295798,-87.587193 286m Haleyville, AL
2016-04-30_1630z.txt 33.564597,-88.436228 86m Columbus, MS
2016-04-30_1645z.txt 34.096523,-88.621572 77m Nettleton, MS
2016-04-30_1800z-2.txt 34.096407,-88.62173 77m Nettleton, MS
2016-04-30_1800z.txt 33.564665,-88.436315 86m Columbus, MS
2016-04-30_2000z.txt 33.564607,-88.436273 86m Columbus, MS
2016-04-30_2030z.txt 34.096493,-88.621377 77m Nettleton, MS
2016-04-30_2100z.txt 33.56458,-88.436265 86m Columbus, MS
2016-04-30_2200z.txt 34.005367,-88.744828 98m Okolona, MS
2016-05-01_1830z.txt 34.480413,-87.305932 191m Moulton, AL
2016-05-01_1930z.txt 34.480383,-87.305977 191m Moulton, AL
