        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL         Long/E          Lat/N
           60.0         957.76          +2.68          56.01           18.9            196          395.1   073°08.792'W    45°32.553'N
           61.0         956.94          +2.91          53.70           18.9            196          402.0   073°08.788'W    45°32.564'N
           62.0         956.12          +3.11          51.35           18.9            196          409.0   073°08.784'W    45°32.575'N
           63.0         955.31          +3.36          49.87           18.9            197          415.9   073°08.781'W    45°32.585'N
           64.0         954.49          +3.48          48.58           18.8            197          422.8   073°08.777'W    45°32.595'N
           65.0         953.66          +3.53          48.31           18.7            197          429.8   073°08.774'W    45°32.606'N
           66.0         952.84          +3.57          48.32           18.7            197          436.9   073°08.772'W    45°32.617'N
           67.0         952.03          +3.58          48.25           18.6            198          443.7   073°08.769'W    45°32.626'N
           68.0         951.22          +3.58          48.50           18.6            198          450.6   073°08.764'W    45°32.634'N
           69.0         950.42          +3.56          48.68           18.6            199          457.5   073°08.758'W    45°32.642'N
           70.0         949.62          +3.52          48.86           18.6            199          464.3   073°08.752'W    45°32.650'N
           71.0         948.83          +3.46          48.91           18.5            199          471.1   073°08.749'W    45°32.658'N
           72.0         948.03          +3.47          49.02           18.4            199          477.9   073°08.747'W    45°32.668'N
           73.0         947.24          +3.58          48.64           18.2            199          484.7   073°08.744'W    45°32.677'N
           74.0         946.44          +3.62          48.43           18.0            198          491.5   073°08.740'W    45°32.687'N
           75.0         945.65          +3.59          48.46           17.8            199          498.3   073°08.735'W    45°32.696'N
           76.0         944.87          +3.52          48.74           17.7            199          505.0   073°08.731'W    45°32.704'N
           77.0         944.09          +3.46          48.95           17.5            199          511.7   073°08.728'W    45°32.714'N
           78.0         943.31          +3.41          48.97           17.3            199          518.3   073°08.724'W    45°32.724'N
           79.0         942.54          +3.35          49.36           17.1            199          525.0   073°08.718'W    45°32.734'N
           80.0         941.76          +3.29          49.58           17.0            199          531.7   073°08.711'W    45°32.744'N
           81.0         940.98          +3.26          49.52           16.9            199          538.4   073°08.705'W    45°32.752'N
           82.0         940.20          +3.22          49.48           16.9            199          545.1   073°08.700'W    45°32.759'N
           83.0         939.41          +3.30          49.55           16.8            200          551.9   073°08.696'W    45°32.766'N
           84.0         938.62          +3.26          49.52           16.6            200          558.7   073°08.693'W    45°32.774'N
           85.0         937.84          +3.21          49.53           16.4            200          565.5   073°08.689'W    45°32.783'N
           86.0         937.05          +3.27          49.08           16.1            201          572.3   073°08.684'W    45°32.793'N
           87.0         936.27          +3.38          48.19           16.0            201          579.1   073°08.679'W    45°32.802'N
           88.0         935.49          +3.41          48.19           16.0            201          585.8   073°08.674'W    45°32.809'N
           89.0         934.71          +3.32          48.73           15.9            201          592.6   073°08.669'W    45°32.817'N
           90.0         933.93          +3.21          49.49           15.9            201          599.3   073°08.665'W    45°32.825'N
           91.0         933.16          +3.10          49.82           15.8            201          606.0   073°08.662'W    45°32.834'N
           92.0         932.38          +3.05          49.98           15.7            202          612.8   073°08.658'W    45°32.844'N
           93.0         931.61          +3.04          50.03           15.6            202          619.5   073°08.655'W    45°32.851'N
           94.0         930.85          +3.01          51.69           15.6            202          626.1   073°08.651'W    45°32.858'N
           95.0         930.09          +2.97          53.95           15.6            202          632.7   073°08.647'W    45°32.864'N
           96.0         929.32          +2.92          57.33           15.6            202          639.4   073°08.643'W    45°32.872'N
           97.0         928.55          +2.86          58.01           15.5            203          646.1   073°08.640'W    45°32.879'N
           98.0         927.79          +2.82          57.69           15.4            204          652.7   073°08.636'W    45°32.886'N
           99.0         927.04          +2.76          57.49           15.3            204          659.3   073°08.631'W    45°32.893'N
          100.0         926.28          +2.70          57.30           15.2            204          665.9   073°08.624'W    45°32.901'N
          101.0         925.52          +2.64          56.97           15.2            204          672.6   073°08.617'W    45°32.910'N
          102.0         924.76          +2.58          56.59           15.3            204          679.2   073°08.613'W    45°32.919'N
          103.0         924.00          +2.54          56.62           15.3            204          685.8   073°08.608'W    45°32.926'N
          104.0         923.24          +2.47          57.18           15.3            204          692.5   073°08.602'W    45°32.932'N
          105.0         922.48          +2.40          57.41           15.3            205          699.2   073°08.598'W    45°32.938'N
          106.0         921.72          +2.34          57.34           15.2            205          705.8   073°08.595'W    45°32.943'N
          107.0         920.97          +2.29          57.53           15.1            206          712.4   073°08.593'W    45°32.949'N
          108.0         920.21          +2.20          57.77           15.1            206          719.1   073°08.589'W    45°32.957'N
          109.0         919.44          +2.11          58.73           15.1            206          725.8   073°08.583'W    45°32.964'N
          110.0         918.68          +2.04          58.80           15.1            207          732.5   073°08.577'W    45°32.971'N
          111.0         917.91          +1.97          58.73           15.1            208          739.2   073°08.571'W    45°32.977'N
          112.0         917.15          +1.91          58.77           15.2            208          746.0   073°08.567'W    45°32.983'N
          113.0         916.39          +1.87          58.78           15.3            209          752.6   073°08.564'W    45°32.991'N
          114.0         915.63          +1.80          59.05           15.4            209          759.3   073°08.560'W    45°32.999'N
          115.0         914.88          +1.74          59.02           15.4            209          765.9   073°08.554'W    45°33.008'N
          116.0         914.14          +1.67          59.02           15.4            209          772.4   073°08.548'W    45°33.016'N
          117.0         913.41          +1.61          58.61           15.4            209          778.9   073°08.540'W    45°33.022'N
          118.0         912.67          +1.57          58.19           15.5            210          785.4   073°08.534'W    45°33.028'N
          119.0         911.93          +1.52          57.72           15.6            210          791.9   073°08.528'W    45°33.036'N
          120.0         911.20          +1.47          58.19           15.6            210          798.4   073°08.520'W    45°33.044'N
          121.0         910.48          +1.41          58.21           15.5            210          804.7   073°08.513'W    45°33.052'N
          122.0         909.77          +1.35          58.54           15.5            210          811.0   073°08.508'W    45°33.060'N
          123.0         909.07          +1.32          58.31           15.6            210          817.2   073°08.503'W    45°33.067'N
          124.0         908.38          +1.26          58.29           15.7            210          823.3   073°08.498'W    45°33.074'N
          125.0         907.71          +1.20          58.02           15.9            210          829.3   073°08.492'W    45°33.082'N
          126.0         907.04          +1.14          58.55           16.1            211          835.2   073°08.484'W    45°33.090'N
          127.0         906.36          +1.08          58.80           16.4            211          841.2   073°08.477'W    45°33.097'N
          128.0         905.68          +1.04          58.89           16.5            211          847.2   073°08.471'W    45°33.103'N
          129.0         905.01          +1.01          58.57           16.5            211          853.2   073°08.463'W    45°33.109'N
          130.0         904.34          +0.99          57.83           16.5            211          859.2   073°08.454'W    45°33.116'N
          131.0         903.67          +0.93          58.30           16.5            212          865.2   073°08.445'W    45°33.124'N
          132.0         903.00          +0.86          60.15           16.6            212          871.1   073°08.436'W    45°33.132'N
          133.0         902.35          +0.81          62.37           16.7            213          876.8   073°08.428'W    45°33.140'N
          134.0         901.72          +0.74          64.22           16.7            213          882.5   073°08.420'W    45°33.148'N
          135.0         901.07          +0.69          63.30           16.7            213          888.2   073°08.415'W    45°33.154'N
          136.0         900.44          +0.65          62.27           16.6            213          893.9   073°08.411'W    45°33.161'N
          137.0         899.80          +0.61          61.44           16.6            213          899.6   073°08.407'W    45°33.169'N
          138.0         899.17          +0.57          61.30           16.7            213          905.2   073°08.400'W    45°33.178'N
          139.0         898.54          +0.51          60.94           16.8            213          910.9   073°08.392'W    45°33.186'N
          140.0         897.90          +0.47          60.45           16.7            214          916.6   073°08.385'W    45°33.193'N
          141.0         897.24          +0.42          59.42           16.7            214          922.4   073°08.379'W    45°33.200'N
          142.0         896.59          +0.35          60.03           16.6            214          928.3   073°08.374'W    45°33.208'N
          143.0         895.92          +0.30          60.75           16.6            214          934.2   073°08.368'W    45°33.217'N
          144.0         895.24          +0.24          61.10           16.6            213          940.4   073°08.359'W    45°33.226'N
          145.0         894.54          +0.17          61.64           16.7            213          946.6   073°08.350'W    45°33.234'N
          146.0         893.83          +0.11          62.18           16.7            213          952.9   073°08.340'W    45°33.242'N
          147.0         893.12          +0.06          61.96           16.8            214          959.4   073°08.331'W    45°33.251'N
          148.0         892.40          +0.01          61.79           16.8            214          965.8   073°08.324'W    45°33.260'N
          149.0         891.67          -0.04          61.73           16.7            214          972.4   073°08.318'W    45°33.268'N
          150.0         890.94          -0.12          62.95           16.6            213          978.9   073°08.312'W    45°33.275'N
          151.0         890.21          -0.23          64.32           16.6            213          985.5   073°08.305'W    45°33.281'N
          152.0         889.48          -0.30          64.93           16.6            213          992.1   073°08.296'W    45°33.287'N
          153.0         888.75          -0.36          64.98           16.5            213          998.6   073°08.286'W    45°33.295'N
          154.0         888.02          -0.44          65.24           16.5            213         1005.2   073°08.279'W    45°33.302'N
          155.0         887.29          -0.50          65.14           16.6            214         1011.7   073°08.273'W    45°33.309'N
          156.0         886.56          -0.57          65.29           16.6            214         1018.3   073°08.267'W    45°33.315'N
          157.0         885.81          -0.66          65.87           16.7            214         1025.1   073°08.261'W    45°33.323'N
          158.0         885.05          -0.76          66.53           16.7            214         1032.0   073°08.253'W    45°33.331'N
          159.0         884.29          -0.85          66.94           16.7            215         1038.8   073°08.244'W    45°33.338'N
          160.0         883.55          -0.93          67.24           16.6            215         1045.5   073°08.235'W    45°33.345'N
          161.0         882.80          -1.01          67.32           16.6            215         1052.3   073°08.228'W    45°33.351'N
          162.0         882.05          -1.06          67.34           16.6            215         1059.0   073°08.223'W    45°33.358'N
          163.0         881.30          -1.10          67.24           16.6            215         1065.8   073°08.220'W    45°33.366'N
          164.0         880.57          -1.18          67.64           16.6            216         1072.5   073°08.216'W    45°33.374'N
          165.0         879.83          -1.23          68.63           16.6            216         1079.1   073°08.210'W    45°33.383'N
          166.0         879.10          -1.32          69.07           16.5            216         1085.7   073°08.201'W    45°33.391'N
          167.0         878.38          -1.39          69.50           16.5            217         1092.3   073°08.191'W    45°33.398'N
          168.0         877.67          -1.45          69.44           16.5            217         1098.7   073°08.183'W    45°33.404'N
          169.0         876.96          -1.51          69.56           16.6            217         1105.1   073°08.178'W    45°33.409'N
          170.0         876.28          -1.57          69.67           16.7            217         1111.3   073°08.173'W    45°33.416'N
          171.0         875.61          -1.64          70.08           16.8            217         1117.5   073°08.166'W    45°33.424'N
          172.0         874.93          -1.71          70.19           16.9            217         1123.6   073°08.158'W    45°33.432'N
          173.0         874.27          -1.77          70.65           16.9            217         1129.6   073°08.149'W    45°33.439'N
          174.0         873.60          -1.84          70.67           16.8            218         1135.7   073°08.140'W    45°33.445'N
          175.0         872.93          -1.89          71.08           16.9            218         1141.8   073°08.133'W    45°33.452'N
          176.0         872.28          -1.94          71.05           17.1            218         1147.8   073°08.127'W    45°33.460'N
          177.0         871.63          -1.99          71.22           17.2            218         1153.6   073°08.120'W    45°33.468'N
          178.0         870.99          -2.03          71.24           17.4            218         1159.5   073°08.111'W    45°33.476'N
          179.0         870.35          -2.08          70.76           17.5            218         1165.4   073°08.101'W    45°33.482'N
          180.0         869.71          -2.12          70.53           17.6            218         1171.2   073°08.094'W    45°33.488'N
          181.0         869.09          -2.17          70.64           17.9            218         1176.9   073°08.087'W    45°33.495'N
          182.0         868.47          -2.22          71.34           18.2            218         1182.5   073°08.079'W    45°33.502'N
          183.0         867.85          -2.28          72.00           18.5            219         1188.2   073°08.071'W    45°33.510'N
          184.0         867.24          -2.30          72.77           18.8            219         1193.7   073°08.061'W    45°33.518'N
          185.0         866.65          -2.23          74.28           19.0            220         1199.2   073°08.049'W    45°33.524'N
          186.0         866.06          -2.19          77.59           19.2            220         1204.6   073°08.039'W    45°33.530'N
          187.0         865.48          -2.15          81.60           19.3            220         1209.9   073°08.029'W    45°33.537'N
          188.0         864.91          -1.90          85.38           19.5            220         1215.2   073°08.020'W    45°33.545'N
          189.0         864.32          -1.66          86.57           19.7            220         1220.6   073°08.011'W    45°33.555'N
          190.0         863.75          -1.65          82.48           19.9            220         1225.9   073°08.003'W    45°33.563'N
          191.0         863.18          -1.93          77.58           20.1            220         1231.1   073°07.993'W    45°33.571'N
          192.0         862.62          -2.14          76.35           20.4            220         1236.3   073°07.982'W    45°33.578'N
          193.0         862.06          -2.11          79.02           20.6            220         1241.4   073°07.972'W    45°33.584'N
          194.0         861.50          -2.02          83.54           20.9            220         1246.5   073°07.962'W    45°33.590'N
          195.0         860.96          -2.09          85.74           21.3            220         1251.6   073°07.953'W    45°33.596'N
          196.0         860.42          -1.90          88.59           21.6            221         1256.5   073°07.942'W    45°33.605'N
          197.0         859.90          -1.73          95.17           21.9            221         1261.4   073°07.931'W    45°33.614'N
          198.0         859.37          -1.48          95.01           22.2            221         1266.3   073°07.921'W    45°33.624'N
          199.0         858.84          -1.34          94.84           22.5            221         1271.2   073°07.911'W    45°33.635'N
          200.0         858.31          -1.35          92.12           22.9            221         1276.2   073°07.902'W    45°33.646'N
          201.0         857.77          -1.31          90.91           23.4            222         1281.1   073°07.891'W    45°33.657'N
          202.0         857.26          -1.35          90.46           23.7            222         1285.9   073°07.877'W    45°33.667'N
          203.0         856.75          -1.35          89.23           23.9            222         1290.6   073°07.863'W    45°33.678'N
          204.0         856.24          -1.27          89.20           24.1            222         1295.4   073°07.849'W    45°33.688'N
          205.0         855.73          -1.29          88.95           24.3            222         1300.1   073°07.836'W    45°33.699'N
          206.0         855.23          -1.34          88.42           24.6            222         1304.8   073°07.822'W    45°33.709'N
          207.0         854.73          -1.39          88.66           25.0            222         1309.5   073°07.809'W    45°33.717'N
          208.0         854.24          -1.34          90.03           25.3            223         1314.0   073°07.797'W    45°33.726'N
          209.0         853.74          -1.30          91.20           25.6            223         1318.7   073°07.787'W    45°33.734'N
          210.0         853.24          -1.28          91.54           25.8            223         1323.4   073°07.778'W    45°33.744'N
          211.0         852.73          -1.30          91.28           26.0            222         1328.1   073°07.768'W    45°33.756'N
          212.0         852.22          -1.30          91.33           26.2            222         1332.9   073°07.756'W    45°33.769'N
          213.0         851.72          -1.38          91.29           26.5            222         1337.5   073°07.742'W    45°33.781'N
          214.0         851.23          -1.40          91.37           26.9            222         1342.1   073°07.726'W    45°33.792'N
          215.0         850.75          -1.39          91.62           27.3            222         1346.7   073°07.708'W    45°33.802'N
          216.0         850.26          -1.29          92.16           27.5            222         1351.2   073°07.692'W    45°33.812'N
          217.0         849.77          -1.24          92.48           27.7            222         1355.8   073°07.676'W    45°33.824'N
          218.0         849.28          -1.06          91.80           27.8            223         1360.5   073°07.661'W    45°33.836'N
          219.0         848.78          -0.81          91.29           28.0            223         1365.1   073°07.646'W    45°33.848'N
          220.0         848.29          -0.72          89.74           28.1            223         1369.8   073°07.628'W    45°33.861'N
          221.0         847.80          -0.72          88.44           28.3            224         1374.4   073°07.610'W    45°33.873'N
          222.0         847.31          -0.71          87.38           28.4            223         1379.0   073°07.593'W    45°33.884'N
          223.0         846.83          -0.70          85.97           28.5            223         1383.5   073°07.577'W    45°33.894'N
          224.0         846.37          -0.68          85.81           28.5            223         1387.9   073°07.561'W    45°33.903'N
          225.0         845.92          -0.69          85.32           28.6            224         1392.2   073°07.544'W    45°33.912'N
          226.0         845.47          -0.70          85.64           28.7            224         1396.4   073°07.527'W    45°33.923'N
          227.0         845.01          -0.69          85.35           28.9            224         1400.8   073°07.510'W    45°33.935'N
          228.0         844.54          -0.68          85.63           29.1            223         1405.2   073°07.493'W    45°33.948'N
          229.0         844.09          -0.67          85.51           29.3            223         1409.4   073°07.479'W    45°33.962'N
          230.0         843.65          -0.66          85.56           29.5            224         1413.7   073°07.465'W    45°33.975'N
          231.0         843.20          -0.69          85.52           29.6            224         1417.8   073°07.452'W    45°33.986'N
          232.0         842.77          -0.70          85.24           29.7            225         1421.9   073°07.438'W    45°33.997'N
          233.0         842.34          -0.71          85.24           29.8            225         1426.0   073°07.422'W    45°34.007'N
          234.0         841.90          -0.74          85.41           29.8            225         1430.2   073°07.404'W    45°34.018'N
          235.0         841.47          -0.77          85.29           29.8            224         1434.3   073°07.386'W    45°34.031'N
          236.0         841.04          -0.80          85.10           29.8            224         1438.4   073°07.370'W    45°34.044'N
          237.0         840.61          -0.82          85.29           29.7            224         1442.4   073°07.356'W    45°34.056'N
          238.0         840.18          -0.85          85.19           29.7            224         1446.6   073°07.341'W    45°34.067'N
          239.0         839.75          -0.89          85.43           29.8            225         1450.7   073°07.325'W    45°34.078'N
          240.0         839.31          -0.90          85.50           29.7            225         1454.8   073°07.308'W    45°34.088'N
          241.0         838.87          -0.92          85.54           29.6            225         1459.0   073°07.291'W    45°34.100'N
          242.0         838.42          -0.95          85.73           29.5            225         1463.3   073°07.275'W    45°34.113'N
          243.0         837.97          -0.98          85.95           29.5            225         1467.6   073°07.260'W    45°34.124'N
          244.0         837.52          -1.00          85.81           29.6            225         1471.9   073°07.245'W    45°34.135'N
          245.0         837.06          -1.03          85.97           29.7            224         1476.2   073°07.229'W    45°34.145'N
          246.0         836.60          -1.07          85.69           29.8            224         1480.6   073°07.212'W    45°34.157'N
          247.0         836.14          -1.09          85.72           29.7            225         1485.0   073°07.196'W    45°34.169'N
          248.0         835.68          -1.12          85.71           29.6            225         1489.5   073°07.182'W    45°34.182'N
          249.0         835.20          -1.15          85.81           29.4            225         1494.0   073°07.168'W    45°34.194'N
          250.0         834.73          -1.18          85.97           29.4            225         1498.5   073°07.152'W    45°34.205'N
          251.0         834.26          -1.22          86.24           29.6            226         1503.0   073°07.134'W    45°34.215'N
          252.0         833.78          -1.26          86.69           29.7            226         1507.6   073°07.116'W    45°34.226'N
          253.0         833.30          -1.30          86.83           29.7            226         1512.2   073°07.097'W    45°34.238'N
          254.0         832.81          -1.34          87.38           29.7            226         1516.8   073°07.081'W    45°34.251'N
          255.0         832.33          -1.39          87.74           29.5            226         1521.4   073°07.067'W    45°34.263'N
          256.0         831.85          -1.42          87.79           29.4            226         1526.0   073°07.053'W    45°34.274'N
          257.0         831.37          -1.47          88.30           29.4            227         1530.7   073°07.037'W    45°34.284'N
          258.0         830.88          -1.51          88.58           29.5            227         1535.4   073°07.020'W    45°34.295'N
          259.0         830.38          -1.55          89.14           29.7            227         1540.1   073°07.000'W    45°34.305'N
          260.0         829.88          -1.57          89.31           29.8            227         1545.0   073°06.981'W    45°34.315'N
          261.0         829.37          -1.62          88.92           29.9            227         1549.9   073°06.965'W    45°34.325'N
          262.0         828.86          -1.65          88.71           30.0            228         1554.8   073°06.950'W    45°34.335'N
          263.0         828.34          -1.69          88.67           30.1            228         1559.7   073°06.936'W    45°34.347'N
          264.0         827.82          -1.72          88.85           30.3            228         1564.8   073°06.920'W    45°34.359'N
          265.0         827.28          -1.75          89.18           30.4            228         1569.9   073°06.903'W    45°34.371'N
          266.0         826.75          -1.78          89.34           30.5            228         1575.1   073°06.884'W    45°34.382'N
          267.0         826.22          -1.81          89.93           30.4            229         1580.2   073°06.866'W    45°34.391'N
          268.0         825.68          -1.82          89.89           30.5            229         1585.4   073°06.850'W    45°34.400'N
          269.0         825.14          -1.83          89.82           30.6            230         1590.6   073°06.835'W    45°34.410'N
          270.0         824.60          -1.83          89.72           30.8            230         1595.8   073°06.819'W    45°34.421'N
          271.0         824.05          -1.84          90.12           31.0            230         1601.1   073°06.802'W    45°34.433'N
          272.0         823.50          -1.85          90.31           31.1            230         1606.4   073°06.783'W    45°34.444'N
          273.0         822.95          -1.87          90.57           31.1            230         1611.7   073°06.765'W    45°34.455'N
          274.0         822.39          -1.87          90.55           31.1            230         1617.1   073°06.748'W    45°34.464'N
          275.0         821.83          -1.86          90.41           31.2            230         1622.5   073°06.732'W    45°34.473'N
          276.0         821.27          -1.89          90.37           31.4            231         1628.0   073°06.716'W    45°34.482'N
          277.0         820.71          -1.93          91.15           31.5            231         1633.4   073°06.697'W    45°34.492'N
          278.0         820.15          -1.92          91.58           31.6            231         1638.9   073°06.676'W    45°34.503'N
          279.0         819.58          -1.90          92.86           31.7            231         1644.4   073°06.656'W    45°34.514'N
          280.0         819.01          -1.88          93.46           31.7            231         1649.9   073°06.634'W    45°34.526'N
          281.0         818.43          -1.81          93.70           31.8            232         1655.5   073°06.612'W    45°34.536'N
          282.0         817.85          -1.74          93.93           31.9            232         1661.2   073°06.590'W    45°34.546'N
          283.0         817.28          -1.71          93.76           32.0            232         1666.7   073°06.568'W    45°34.557'N
          284.0         816.70          -1.70          93.71           32.0            232         1672.4   073°06.547'W    45°34.569'N
          285.0         816.13          -1.70          93.96           31.9            233         1678.0   073°06.528'W    45°34.581'N
          286.0         815.56          -1.67          93.46           31.8            233         1683.5   073°06.510'W    45°34.593'N
          287.0         814.99          -1.63          93.48           31.9            233         1689.1   073°06.491'W    45°34.602'N
          288.0         814.41          -1.63          93.32           32.1            233         1694.7   073°06.470'W    45°34.611'N
          289.0         813.84          -1.66          93.78           32.3            233         1700.3   073°06.448'W    45°34.621'N
          290.0         813.29          -1.70          93.61           32.5            233         1705.8   073°06.426'W    45°34.633'N
          291.0         812.73          -1.74          93.27           32.6            233         1711.2   073°06.404'W    45°34.646'N
          292.0         812.16          -1.79          93.28           32.7            234         1716.8   073°06.383'W    45°34.659'N
          293.0         811.59          -1.83          93.49           32.7            234         1722.3   073°06.364'W    45°34.672'N
          294.0         811.02          -1.88          93.90           32.7            234         1728.0   073°06.346'W    45°34.683'N
          295.0         810.45          -1.90          94.26           32.8            234         1733.6   073°06.327'W    45°34.693'N
          296.0         809.87          -1.89          93.61           33.0            235         1739.3   073°06.306'W    45°34.703'N
          297.0         809.29          -1.87          92.81           33.1            235         1744.9   073°06.285'W    45°34.714'N
          298.0         808.72          -1.85          92.24           33.2            235         1750.6   073°06.263'W    45°34.725'N
          299.0         808.14          -1.86          91.16           33.2            235         1756.3   073°06.240'W    45°34.733'N
          300.0         807.57          -1.88          91.51           33.1            235         1761.9   073°06.217'W    45°34.742'N
          301.0         806.99          -1.92          91.75           33.0            235         1767.6   073°06.196'W    45°34.752'N
          302.0         806.40          -1.97          92.03           33.0            235         1773.4   073°06.177'W    45°34.761'N
          303.0         805.82          -2.01          92.61           33.0            235         1779.2   073°06.159'W    45°34.770'N
          304.0         805.23          -2.07          93.18           32.9            235         1785.0   073°06.140'W    45°34.780'N
          305.0         804.65          -2.12          93.10           32.9            235         1790.7   073°06.122'W    45°34.789'N
          306.0         804.06          -2.16          93.38           32.9            236         1796.5   073°06.105'W    45°34.799'N
          307.0         803.48          -2.21          93.67           32.9            236         1802.3   073°06.087'W    45°34.809'N
          308.0         802.90          -2.26          93.75           32.9            236         1808.0   073°06.067'W    45°34.821'N
          309.0         802.33          -2.28          93.36           32.9            236         1813.7   073°06.043'W    45°34.832'N
          310.0         801.75          -2.29          92.70           32.9            236         1819.4   073°06.019'W    45°34.843'N
