        FltTime          Press           Temp         RelHum         WSpeed          WDirn        GPM_AGL         Long/E          Lat/N
              s            hPa             °C              %            m/s              °              m                              
---------------------------------------------------------------------------------------------------------------------------------------
            0.0        1005.65          +3.80          64.20            1.2            203            0.0   073°08.967'W    45°32.096'N
            1.0        1004.01          +3.78          65.86            9.8            196           13.2   073°08.969'W    45°32.097'N
            2.0        1003.11          +3.80          66.11            9.7            197           20.5   073°08.971'W    45°32.098'N
            3.0        1002.39          +3.79          62.77            9.8            198           26.4   073°08.966'W    45°32.100'N
            4.0        1001.77          +3.77          62.87           10.0            197           31.4   073°08.963'W    45°32.104'N
            5.0        1001.20          +3.76          62.78           10.3            197           36.0   073°08.962'W    45°32.109'N
            6.0        1000.63          +3.75          63.03           10.5            197           40.6   073°08.961'W    45°32.113'N
            7.0        1000.03          +3.70          63.12           10.7            197           45.5   073°08.955'W    45°32.119'N
            8.0         999.38          +3.72          62.98           10.8            196           50.8   073°08.947'W    45°32.125'N
            9.0         998.70          +3.74          63.12           10.7            195           56.3   073°08.945'W    45°32.130'N
           10.0         998.01          +3.73          63.20           10.8            194           61.9   073°08.947'W    45°32.136'N
           11.0         997.29          +3.67          63.37           10.9            193           67.8   073°08.947'W    45°32.143'N
           12.0         996.54          +3.61          63.55           11.1            193           73.9   073°08.942'W    45°32.148'N
           13.0         995.86          +3.62          63.46           11.3            194           79.5   073°08.938'W    45°32.155'N
           14.0         995.18          +3.63          63.24           11.4            194           85.0   073°08.938'W    45°32.163'N
           15.0         994.50          +3.60          63.37           11.4            195           90.5   073°08.939'W    45°32.170'N
           16.0         993.82          +3.54          63.57           11.5            195           96.1   073°08.936'W    45°32.174'N
           17.0         993.12          +3.56          63.55           11.6            195          101.8   073°08.931'W    45°32.179'N
           18.0         992.42          +3.51          63.48           11.8            196          107.5   073°08.926'W    45°32.186'N
           19.0         991.69          +3.46          63.60           12.1            195          113.4   073°08.923'W    45°32.194'N
           20.0         990.96          +3.38          64.04           12.2            195          119.5   073°08.923'W    45°32.200'N
           21.0         990.22          +3.31          64.37           12.6            195          125.5   073°08.922'W    45°32.203'N
           22.0         989.45          +3.24          64.75           12.9            196          131.8   073°08.918'W    45°32.206'N
           23.0         988.66          +3.19          64.74           13.2            195          138.3   073°08.914'W    45°32.212'N
           24.0         987.86          +3.12          64.90           13.4            195          144.8   073°08.911'W    45°32.220'N
           25.0         987.06          +3.15          64.71           13.8            195          151.4   073°08.907'W    45°32.229'N
           26.0         986.25          +3.17          64.31           14.1            194          158.1   073°08.905'W    45°32.237'N
           27.0         985.44          +3.15          64.25           14.3            194          164.7   073°08.903'W    45°32.246'N
           28.0         984.63          +3.10          64.32           14.4            192          171.4   073°08.903'W    45°32.253'N
           29.0         983.82          +3.09          64.39           14.5            192          178.1   073°08.905'W    45°32.259'N
           30.0         983.02          +3.07          64.56           14.6            193          184.7   073°08.907'W    45°32.266'N
           31.0         982.20          +3.03          64.90           14.8            193          191.4   073°08.906'W    45°32.274'N
           32.0         981.38          +2.90          64.93           15.1            193          198.1   073°08.903'W    45°32.284'N
           33.0         980.56          +2.80          65.10           15.4            193          205.0   073°08.898'W    45°32.292'N
           34.0         979.73          +2.89          64.68           15.5            193          211.8   073°08.894'W    45°32.299'N
           35.0         978.90          +2.93          64.02           15.7            194          218.6   073°08.890'W    45°32.305'N
           36.0         978.08          +2.93          64.05           16.0            194          225.4   073°08.886'W    45°32.311'N
           37.0         977.26          +2.87          63.98           16.3            194          232.2   073°08.880'W    45°32.319'N
           38.0         976.44          +2.82          64.27           16.5            194          239.1   073°08.874'W    45°32.330'N
           39.0         975.61          +2.81          64.31           16.6            194          245.9   073°08.870'W    45°32.341'N
           40.0         974.77          +2.79          64.40           16.9            195          252.8   073°08.868'W    45°32.351'N
           41.0         973.94          +2.73          64.54           17.3            195          259.8   073°08.867'W    45°32.360'N
           42.0         973.10          +2.65          64.83           17.6            194          266.8   073°08.864'W    45°32.368'N
           43.0         972.26          +2.62          65.19           17.8            194          273.7   073°08.861'W    45°32.375'N
           44.0         971.41          +2.55          65.26           17.9            194          280.8   073°08.857'W    45°32.385'N
           45.0         970.55          +2.47          65.66           18.0            194          287.9   073°08.854'W    45°32.396'N
           46.0         969.69          +2.42          65.86           18.1            194          295.1   073°08.853'W    45°32.407'N
           47.0         968.84          +2.35          66.09           18.1            194          302.2   073°08.852'W    45°32.418'N
           48.0         967.98          +2.27          66.40           18.3            194          309.4   073°08.853'W    45°32.428'N
           49.0         967.11          +2.20          66.73           18.4            195          316.6   073°08.852'W    45°32.436'N
           50.0         966.25          +2.14          67.03           18.5            196          323.8   073°08.849'W    45°32.445'N
           51.0         965.38          +2.09          67.00           18.5            196          331.1   073°08.844'W    45°32.455'N
           52.0         964.51          +2.02          66.56           18.5            196          338.4   073°08.839'W    45°32.467'N
           53.0         963.64          +2.01          65.98           18.5            196          345.7   073°08.833'W    45°32.478'N
           54.0         962.77          +2.18          64.61           18.6            196          352.9   073°08.827'W    45°32.489'N
           55.0         961.91          +2.30          62.82           18.8            196          360.2   073°08.822'W    45°32.499'N
           56.0         961.06          +2.45          61.97           18.9            195          367.3   073°08.818'W    45°32.510'N
           57.0         960.23          +2.44          60.87           18.9            195          374.3   073°08.814'W    45°32.521'N
           58.0         959.40          +2.37          60.79           18.9            195          381.3   073°08.807'W    45°32.531'N
           59.0         958.57          +2.49          58.94           18.9            195          388.2   073°08.800'W    45°32.542'N
