filename,latitude,longitude,elevation(m)
20170325_1400Z_ULM_HollywoodAL.txt,34.71651,-85.95664,189
20170325_1602Z_ULM_HollywoodAL.txt,34.71653,-85.95667,189
20170325_1702Z_ULM_HollywoodAL.txt,34.71649,-85.95669,189
20170325_1759Z_ULM_HollywoodAL.txt,34.71657,-85.9567,189
20170325_1901Z_ULM_HollywoodAL.txt,34.71656,-85.95665,189
20170325_2003Z_ULM_HollywoodAL.txt,34.71674,-85.95687,189
20170327_1200_ULM_TuscumbiaAL.txt,34.71183,-87.70594,150
20170327_1433_ULM_TuscumbiaAL.txt,34.71162,-87.70599,150
20170327_1446_ULM_NaccAL.txt,34.5477,-85.90967,389
20170327_1639_ULM_CourtlandAL.txt,34.66212,-87.34895,176
20170327_1646_ULM_NaccAL.txt,34.54751,-85.90997,389
20170327_1841_ULM_CourtlandAL.txt,34.66213,-87.34892,176
20170327_1846_ULM_NaccAL.txt,34.54769,-85.91055,389
20170327_1933_ULM_CourtlandAL.txt,34.66147,-87.34866,176
20170327_1947_ULM_NaccAL.txt,34.54764,-85.91017,389
20170327_2013_ULM_TrinityAL.txt,34.61124,-87.08615,191
20170327_2100_ULM_MoultonAL.txt,34.47578,-87.26847,205
20170327_2149_ULM_NaccAL.txt,34.54739,-85.91025,389
20170327_2250_ULM_NaccAL.txt,34.54734,-85.91036,389
20170328_0005_ULM_FlorenceAL.txt,34.79355,-87.74024,162
20170328_0115_ULM_FlorenceAL.txt,34.83808,-87.69734,164
20170328_0134_ULM_HollywoodAL.txt,34.71661,-85.95664,189
20170328_0301_ULM_NaccAL.txt,34.54776,-85.9102,389
20170330_1542_ULM_HollywoodAL.txt,34.71686,-85.95681,189
20170330_1544_ULM_CullmanAL.txt,34.19439,-86.79702,246
20170330_1748_ULM_HollywoodAL.txt,34.71679,-85.95672,189
20170330_1751_ULM_CullmanAL.txt,34.19461,-86.79711,246
20170330_2135_ULM_HollywoodAL.txt,34.71684,-85.95656,189
20170330_2150_ULM_CullmanAL.txt,34.19496,-86.79694,246
20170330_2345_ULM_HollywoodAL.txt,34.71667,-85.95664,189
20170330_2346_ULM_CullmanAL.txt,34.19452,-86.797,246
20170331_0005_ULM_HollywoodAL.txt,34.71699,-85.95626,189
20170403_1952_ULM_HollywoodAL.txt,34.71673,-85.95651,189
20170403_1953_ULM_CullmanAL.txt,34.19453,-86.79691,246
20170403_2145_ULM_HollywoodAL.txt,34.71682,-85.9564,189
20170405_1105_ULM_CrossvilleAL.txt,34.28749,-85.95884,357
20170405_1105_ULM_HollywoodAL.txt,34.7165,-85.95688,189
20170405_1347_ULM_GeraldineAL.txt,34.36545,-86.00454,360
20170405_1349_ULM_HollywoodAL.txt,34.71672,-85.95675,189
20170405_1546_ULM_HollywoodAL.txt,34.71661,-85.9565,189
20170405_1607_ULM_GeraldineAL.txt,34.36561,-86.00445,360
20170405_1702_ULM_HollywoodAL.txt,34.71684,-85.95666,189
20170405_1728_ULM_GeraldineAL.txt,34.36579,-86.00465,360
20170405_1849_ULM_HollywoodAL.txt,34.71703,-85.95682,189
20170405_1902_ULM_GeraldineAL.txt,34.36577,-86.00441,360
20170405_1910_ULM_HollywoodAL.txt,34.71674,-85.95679,189
20170405_1950_ULM_HollywoodAL.txt,34.71684,-85.95685,189
20170405_1950_ULM_HopewellAL.txt,34.37531,-86.04715,358
20170405_2039_ULM_HopewellAL.txt,34.37531,-86.04734,358
20170405_2050_ULM_HollywoodAL.txt,34.71715,-85.95674,189
20170405_2143_ULM_HopewellAL.txt,34.3753,-86.04763,358
20170405_2150_ULM_HollywoodAL.txt,34.71706,-85.95693,189
20170405_2248_ULM_HollywoodAL.txt,34.7168,-85.95691,189
20170405_2248_ULM_HopewellAL.txt,34.37507,-86.04725,358
20170426_2349_ULM_CullmanAL.txt,34.19501,-86.80065,246
20170427_0246_ULM_CullmanAL.txt,34.19496,-86.80068,246
20170427_0254_ULM_HaleyvilleAL.txt,34.27729,-87.59907,284
20170427_0346_ULM_HaleyvilleAL.txt,34.27723,-87.59919,284
20170427_0446_ULM_CullmanAL.txt,34.19506,-86.80064,246
20170427_0553_ULM_AddisonAL.txt,34.20696,-87.1811,243
20170427_0603_ULM_CullmanAL.txt,34.19524,-86.80054,246
20170428_1746_ULM_HaleyvilleAL.txt,34.27787,-87.59901,284
20170428_1755_ULM_BrownsFerryAL.txt,34.72641,-87.11237,183
20170428_2047_ULM_BrownsFerryAL.txt,34.72609,-87.11247,183
20170428_2105_ULM_TrinityAL.txt,34.63168,-87.11025,177
20170428_2241_ULM_AthensAL.txt,34.74571,-87.04073,199
20170428_2247_ULM_TrinityAL.txt,34.63139,-87.11034,177
20170430_1622_ULM_FacklerAL.txt,34.79811,-86.00248,190
20170430_1650_ULM_HollywoodAL.txt,34.71687,-85.95665,189
20170430_1754_ULM_HollywoodAL.txt,34.71677,-85.95663,189
20170430_1807_ULM_FacklerAL.txt,34.79839,-86.00283,190
20170430_1851_ULM_HollywoodAL.txt,34.71676,-85.9566,189
20170430_1853_ULM_FacklerAL.txt,34.79829,-86.00249,190
20170430_1954_ULM_HollywoodAL.txt,34.71664,-85.95678,189
20170430_1956_ULM_FacklerAL.txt,34.79813,-86.00255,190
20170430_2348_ULM_FacklerAL.txt,34.79805,-86.00255,190
20170430_2349_ULM_HollywoodAL.txt,34.71655,-85.95662,189
20170501_0245_ULM_FacklerAL.txt,34.79809,-86.00221,190
20170501_0248_ULM_HollywoodAL.txt,34.71649,-85.95644,189
