*** COMPREHENSIVE AEROLOGICAL REFERENCE DATASET (CARDS) STATION HISTORY *** 

NUMBER = STATION NUMBER (1ST 5 DIGITS IS WMO NUMBER)
NAME = STATION NAME 
COUNTRY = FIPS COUNTRY CODE 
LATITUDE = LATITUDE IN DEGREES & HUNDREDTHS (SOUTH = NEGATIVE)  
LONGITUDE = LONGITUDE IN DEGREES & HUNDREDTHS (WEST = NEGATIVE) 
ELEV = ELEVATION IN METERS (UNKNOWN = 9999.9)   
BEGINS = BEGINNING YEAR-MONTH FOR DIGITAL DATA  
ENDS = ENDING YEAR-MONTH FOR DIGITAL DATA (999912 = STATION STILL ACTIVE)   

NUMBER NAME                            COUNTRY    LATITUDE  LONGITUDE   ELEV    BEGINS ENDS 
039530 VALENTIA OBS.                        EI    51.93300  -10.25000   14.0    195805 198808   
040180 KEFLAVIK (USN)                       IC    63.95000  -22.61700   38.0    196707 999912   
040180 KEFLAVIK (USN)                       IC    63.96700  -22.60000   58.0    196202 196707   
040180 KEFLAVIK (USAF)                      IC    63.95000  -22.61700   49.0    195109 196202   
040180 KEFLAVIK (USWB)                      IC    63.95000  -22.61700   49.0    194801 195108   
040180 KEFLAVIK (USAF)                      IC    63.95000  -22.61700   49.0    194601 194704   
042020 THULE AB (USAF)                      GL    76.53300  -68.75000   77.0    199010 999912   
042020 THULE AB (USAF)                      GL    76.53300  -68.75000   59.0    197901 199010   
042020 THULE AB (USAF)                      GL    76.53300  -68.75000   63.0    197812 197901   
042020 THULE AB (USAF)                      GL    76.51700  -68.83300   30.0    197103 197812   
042020 THULE AB (USAF)                      GL    76.55000  -68.71700   31.0    196011 197103   
042020 THULE AB (USAF)                      GL    76.55000  -68.81700   34.0    195208 196010   
042020 THULE AB (USAF)                      GL    76.55000  -68.81700   39.0    194610 195207   
042200 EGEDESMINDE                          GL    68.70000  -52.75000   40.0    198506 999912   
042200 EGEDESMINDE                          GL    68.70000  -52.75000   39.0    197510 198506   
042200 EGEDESMINDE                          GL    68.70000  -52.75000   27.0    195805 197510   
042310 SONDRESTROM (USAF)                   GL    67.00000  -50.80000   46.0    194607 195004   
042700 NARSSARSSUAQ                         GL    61.18300  -45.43300    4.0    195811 999912   
042700 NARSARSSUAK (USAF)                   GL    61.18300  -45.43300    4.0    194311 195810   
042705 MARRAK POINT (USAF)                  GL    63.43300  -51.18300   75.0    194712 194809   
043100 NORD                                 GL    81.60000  -16.66700   40.0    195601 197204   
043200 DANMARKSHAVN                         GL    76.76700  -18.66700   14.0    198703 999912   
043200 DANMARKSHAVN                         GL    76.76700  -18.76700   14.0    195805 198703   
043390 SCORESBYSUND                         GL    70.48300  -21.96700   66.0    198010 999912   
043400 KAP TOBIN TO 043390                  GL    70.41700  -21.96700   22.0    195805 198010   
043405 WALRUS BAY (USAF)                    GL    70.50000  -21.96700    7.0    194606 195207   
043600 ANGMAGSSALIK                         GL    65.60000  -37.63300   50.0    195805 999912   
043605 IKATEQ                               GL    65.93300  -36.68300   56.0    194601 195810   
060110 THORSHAVN                            FO    62.01700   -6.76700   55.0    194911 999912   
060300 ALBORG                               DA    57.10000    9.86700    3.0    197103 999912   
061800 COPENAGEN/KASTRUP                    DA    55.63300   12.66700    5.0    194910 196206   
061810 COPENHAGEN/JAEGERS                   DA    55.76700   12.53300   40.0    195805 999912   
062420 VLIELAND ISLAND                      NL    53.25000    4.91700    4.0    197607 999912   
062600 DE BILT                              NL    52.10000    5.18300    2.0    197510 999912   
062600 DE BILT                              NL    52.10000    5.18300    7.0    194510 197510   
064470 UCCLE/UKKLE                          LU    50.80000    4.35000  100.0    199010 999912   
064470 UCCLE                                LU    50.80000    4.35000  104.0    194901 199010   
064760 ST HUBERT (BEL-AFB)                  LU    50.03300    5.40000  558.0    197407 999912   
064760 ST HUBERT/CIVIL                      LU    50.03300    5.40000  565.0    196412 197407   
066100 PAYERNE (MIL)                        SZ    46.81700    6.95000  490.0    199010 999912   
066100 PAYERNE (MIL)                        SZ    46.81700    6.95000  501.0    198804 199010   
066100 PAYERNE/ST AEROL                     SZ    46.81700    6.95000  501.0    197407 198804   
066100 PAYERNE                              SZ    46.81700    6.95000  500.0    194801 197407   
071100 BREST/GUIPAVAS                       FR    48.45000   -4.41700   99.0    199010 999912   
071100 BREST/GUIPAVAS                       FR    48.45000   -4.41700   94.0    198301 199010   
071100 BREST/GUIPAVAS                       FR    48.45000   -4.41700  103.0    195501 198301   
071390 ALENCON/VALFRAMBERT                  FR    48.45000    0.10000  141.0    199003 999912   
071450 TRAPPES                              FR    48.76700    2.01700  168.0    195501 999912   
071700 CHAUMONT                             FR    48.10000    5.05000  313.0    195307 195908   
071800 NANCY/ESSEY                          FR    48.68300    6.21700  225.0    198301 999912   
071800 NANCY/ESSEY                          FR    48.68300    6.21700  217.0    195805 198301   
072550 BOURGES                              FR    47.06700    2.36700  166.0    197402 999912   
072800 DIJON                                FR    47.26700    5.08300  227.0    198202 999912   
073540 CHATEAUROUX/DEOLS                    FR    46.85000    1.71700  164.0    195707 196408   
074120 COGNAC                               FR    45.66700   -0.31700   30.0    199003 999912   
074800 LYON/BRON TO 074810                  FR    45.73300    4.95000  201.0    196309 197508   
074810 LYON/SATOLAS                         FR    45.73300    5.08300  248.0    199008 999912   
074810 LYON/SATOLAS                         FR    45.73300    5.08300  240.0    197607 199008   
075100 BORDEAUX/MERIGNAC                    FR    44.83300   -0.70000   45.0    195805 999912   
076020 BIARRITZ/BAYONNE                     FR    43.46700   -1.53300   71.0    197301 197503   
076300 TOULOUSE/BLAGNAC                     FR    43.63300    1.36700  152.0    197301 198410   
076450 NIMES/COURBESSAC                     FR    43.86700    4.40000   60.0    195805 999912   
077610 AJACCIO/C. DEL ORO                   FR    41.91700    8.80000    5.0    196404 999912   
080010 LA CORUNA                            SP    43.36700   -8.41700   67.0    195801 999912   
080230 SANTANDER                            SP    43.46700   -3.81700   79.0    198610 999912   
080230 SANTANDER                            SP    43.46700   -3.81700   64.0    197303 197709   
080550 LEON/V. DEL CAMINO                   SP    42.58300   -5.65000  914.0    197301 197704   
080840 LOGRONO/AGONCILLO                    SP    42.45000   -2.33300  363.0    197303 197808   
080870 BARDENAS REALES                      SP    42.20000    1.45000  295.0    197601 199012   
081400 VALLADOLID                           SP    41.71700   -4.85000  854.0    197303 198105   
081590 ZARAGOSA AB                          SP    41.68300   -1.01700  279.0    195801 196511   
082020 SALAMANCA/MATACAN                    SP    40.95000   -5.50000  793.0    197406 197609   
082210 MADRID/BARAJAS                       SP    40.46700   -3.56700  638.0    195208 999912   
083010 PALMA DE MALLORCA                    SP    39.55000    2.61700    6.0    198806 999912   
