        FltTime          Press           Temp         RelHum         WSpeed          WDirn       UTC_Date       UTC_Time         Long/E          Lat/N        GPM_MSL
              s            hPa             °C              %            m/s              °                      hr:min:s                                            m
---------------------------------------------------------------------------------------------------------------------------------------------------------------------
            0.0        1018.95          +5.10          58.30            2.0              0     2022-03-15       00:11:16  073°15'58.5"W   45°19'28.8"N           37.0
            1.0        1018.49          +4.76          63.10           10.4            231     2022-03-15       00:11:17  073°15'58.4"W   45°19'28.9"N           40.7
            2.0        1018.01          +4.70          65.03           10.1            231     2022-03-15       00:11:18  073°15'58.1"W   45°19'29.1"N           44.5
            3.0        1017.50          +4.64          59.63           10.0            232     2022-03-15       00:11:19  073°15'57.8"W   45°19'29.2"N           48.6
            4.0        1016.97          +4.58          59.98           10.2            233     2022-03-15       00:11:20  073°15'57.5"W   45°19'29.1"N           52.8
            5.0        1016.47          +4.57          60.07           10.5            232     2022-03-15       00:11:21  073°15'57.2"W   45°19'29.0"N           56.9
            6.0        1015.95          +4.56          59.86           10.7            231     2022-03-15       00:11:22  073°15'56.8"W   45°19'29.3"N           61.0
            7.0        1015.41          +4.56          59.92           10.7            231     2022-03-15       00:11:23  073°15'56.4"W   45°19'29.7"N           65.3
            8.0        1014.85          +4.54          59.81           10.8            230     2022-03-15       00:11:24  073°15'55.8"W   45°19'29.9"N           69.9
            9.0        1014.25          +4.49          60.01           10.9            230     2022-03-15       00:11:25  073°15'55.4"W   45°19'30.2"N           74.7
           10.0        1013.63          +4.45          60.15           11.1            230     2022-03-15       00:11:26  073°15'55.1"W   45°19'30.5"N           79.7
           11.0        1013.00          +4.43          60.32           11.3            231     2022-03-15       00:11:27  073°15'54.8"W   45°19'30.9"N           84.7
           12.0        1012.43          +4.39          60.51           11.3            232     2022-03-15       00:11:28  073°15'54.3"W   45°19'31.3"N           89.3
           13.0        1011.85          +4.35          60.84           11.4            233     2022-03-15       00:11:29  073°15'53.9"W   45°19'31.6"N           93.9
           14.0        1011.29          +4.30          60.97           11.5            233     2022-03-15       00:11:30  073°15'53.6"W   45°19'31.9"N           98.4
           15.0        1010.73          +4.26          61.08           11.6            233     2022-03-15       00:11:31  073°15'53.4"W   45°19'32.0"N          103.0
           16.0        1010.15          +4.21          61.21           11.7            233     2022-03-15       00:11:32  073°15'53.0"W   45°19'32.0"N          107.6
           17.0        1009.58          +4.17          61.36           11.6            233     2022-03-15       00:11:33  073°15'52.5"W   45°19'32.1"N          112.2
           18.0        1009.00          +4.12          61.50           11.6            233     2022-03-15       00:11:34  073°15'51.9"W   45°19'32.2"N          116.9
           19.0        1008.44          +4.05          61.73           11.7            233     2022-03-15       00:11:35  073°15'51.3"W   45°19'32.5"N          121.4
           20.0        1007.87          +3.99          61.96           11.8            233     2022-03-15       00:11:36  073°15'50.9"W   45°19'33.0"N          126.0
