        FltTime          Press           Temp         RelHum         WSpeed          WDirn       UTC_Date       UTC_Time         Long/E          Lat/N        GPM_MSL
           21.0        1007.31          +3.95          62.15           12.2            233     2022-03-15       00:11:37  073°15'50.7"W   45°19'33.3"N          130.5
           22.0        1006.75          +3.89          62.41           12.2            233     2022-03-15       00:11:38  073°15'50.6"W   45°19'33.4"N          135.0
           23.0        1006.19          +3.82          62.46           12.3            233     2022-03-15       00:11:39  073°15'50.1"W   45°19'33.4"N          139.5
           24.0        1005.63          +3.77          62.73           12.6            233     2022-03-15       00:11:40  073°15'49.5"W   45°19'33.6"N          144.1
           25.0        1005.07          +3.73          63.07           13.0            232     2022-03-15       00:11:41  073°15'48.9"W   45°19'34.0"N          148.6
           26.0        1004.53          +3.69          63.18           13.1            232     2022-03-15       00:11:42  073°15'48.5"W   45°19'34.5"N          153.0
           27.0        1003.99          +3.66          63.18           13.1            232     2022-03-15       00:11:43  073°15'48.2"W   45°19'34.8"N          157.3
           28.0        1003.46          +3.64          63.49           13.0            232     2022-03-15       00:11:44  073°15'47.9"W   45°19'35.1"N          161.7
           29.0        1002.93          +3.58          63.64           13.0            233     2022-03-15       00:11:45  073°15'47.4"W   45°19'35.5"N          165.9
           30.0        1002.42          +3.55          63.86           13.1            234     2022-03-15       00:11:46  073°15'46.7"W   45°19'35.8"N          170.0
           31.0        1001.93          +3.51          64.38           13.2            234     2022-03-15       00:11:47  073°15'46.0"W   45°19'36.0"N          174.0
           32.0        1001.45          +3.46          64.82           13.3            235     2022-03-15       00:11:48  073°15'45.4"W   45°19'36.1"N          177.9
           33.0        1000.98          +3.42          65.05           13.3            235     2022-03-15       00:11:49  073°15'44.8"W   45°19'36.2"N          181.7
           34.0        1000.52          +3.39          65.56           13.4            235     2022-03-15       00:11:50  073°15'44.1"W   45°19'36.4"N          185.4
           35.0        1000.06          +3.34          65.87           13.6            235     2022-03-15       00:11:51  073°15'43.5"W   45°19'36.8"N          189.1
           36.0         999.61          +3.30          66.19           13.8            235     2022-03-15       00:11:52  073°15'43.1"W   45°19'37.1"N          192.8
           37.0         999.16          +3.27          66.40           14.0            234     2022-03-15       00:11:53  073°15'42.7"W   45°19'37.3"N          196.5
           38.0         998.70          +3.23          66.55           14.0            234     2022-03-15       00:11:54  073°15'42.2"W   45°19'37.5"N          200.2
           39.0         998.23          +3.18          66.61           13.9            234     2022-03-15       00:11:55  073°15'41.6"W   45°19'37.7"N          204.0
           40.0         997.76          +3.14          66.43           13.8            235     2022-03-15       00:11:56  073°15'41.0"W   45°19'38.0"N          207.8
           41.0         997.30          +3.11          66.48           14.0            235     2022-03-15       00:11:57  073°15'40.5"W   45°19'38.3"N          211.6
           42.0         996.83          +3.08          66.45           14.2            235     2022-03-15       00:11:58  073°15'40.1"W   45°19'38.6"N          215.3
           43.0         996.38          +3.04          66.34           14.4            234     2022-03-15       00:11:59  073°15'39.6"W   45°19'38.8"N          219.0
           44.0         995.90          +3.00          66.81           14.3            234     2022-03-15       00:12:00  073°15'39.0"W   45°19'39.0"N          222.9
           45.0         995.44          +2.97          66.86           14.2            235     2022-03-15       00:12:01  073°15'38.3"W   45°19'39.3"N          226.7
           46.0         994.96          +2.92          67.04           14.2            235     2022-03-15       00:12:02  073°15'37.8"W   45°19'39.7"N          230.6
           47.0         994.48          +2.88          66.96           14.4            236     2022-03-15       00:12:03  073°15'37.3"W   45°19'40.0"N          234.5
           48.0         993.99          +2.84          67.03           14.5            236     2022-03-15       00:12:04  073°15'36.9"W   45°19'40.2"N          238.5
           49.0         993.50          +2.81          66.81           14.4            236     2022-03-15       00:12:05  073°15'36.3"W   45°19'40.4"N          242.5
           50.0         993.00          +2.78          67.16           14.4            237     2022-03-15       00:12:06  073°15'35.7"W   45°19'40.6"N          246.5
           51.0         992.50          +2.73          67.38           14.4            236     2022-03-15       00:12:07  073°15'35.0"W   45°19'40.9"N          250.6
           52.0         991.99          +2.71          67.82           14.6            236     2022-03-15       00:12:08  073°15'34.4"W   45°19'41.2"N          254.8
           53.0         991.48          +2.65          68.33           14.6            235     2022-03-15       00:12:09  073°15'33.9"W   45°19'41.5"N          258.9
           54.0         990.97          +2.60          68.95           14.6            235     2022-03-15       00:12:10  073°15'33.4"W   45°19'41.8"N          263.1
           55.0         990.45          +2.55          69.22           14.5            235     2022-03-15       00:12:11  073°15'32.8"W   45°19'42.0"N          267.4
           56.0         989.93          +2.50          69.05           14.6            236     2022-03-15       00:12:12  073°15'32.2"W   45°19'42.3"N          271.6
           57.0         989.40          +2.48          68.94           14.7            236     2022-03-15       00:12:13  073°15'31.7"W   45°19'42.6"N          275.9
           58.0         988.87          +2.44          69.21           14.8            236     2022-03-15       00:12:14  073°15'31.2"W   45°19'42.9"N          280.2
           59.0         988.35          +2.39          69.47           14.8            236     2022-03-15       00:12:15  073°15'30.7"W   45°19'43.1"N          284.5
           60.0         987.82          +2.35          69.36           14.8            236     2022-03-15       00:12:16  073°15'30.2"W   45°19'43.4"N          288.8
           61.0         987.29          +2.30          69.37           14.8            236     2022-03-15       00:12:17  073°15'29.6"W   45°19'43.6"N          293.2
           62.0         986.75          +2.27          69.67           15.0            237     2022-03-15       00:12:18  073°15'29.1"W   45°19'43.9"N          297.6
           63.0         986.21          +2.23          69.99           15.1            237     2022-03-15       00:12:19  073°15'28.6"W   45°19'44.2"N          302.0
           64.0         985.67          +2.19          69.95           15.1            237     2022-03-15       00:12:20  073°15'28.1"W   45°19'44.5"N          306.4
           65.0         985.12          +2.14          70.23           15.0            237     2022-03-15       00:12:21  073°15'27.6"W   45°19'44.7"N          310.9
           66.0         984.57          +2.09          70.38           15.0            237     2022-03-15       00:12:22  073°15'27.0"W   45°19'45.0"N          315.5
           67.0         984.02          +2.05          70.49           15.1            238     2022-03-15       00:12:23  073°15'26.4"W   45°19'45.3"N          320.0
           68.0         983.47          +2.03          71.23           15.2            238     2022-03-15       00:12:24  073°15'25.8"W   45°19'45.6"N          324.5
           69.0         982.91          +2.02          71.17           15.3            237     2022-03-15       00:12:25  073°15'25.2"W   45°19'45.8"N          329.0
           70.0         982.36          +1.99          70.99           15.2            237     2022-03-15       00:12:26  073°15'24.6"W   45°19'46.0"N          333.6
           71.0         981.81          +1.95          70.94           15.2            238     2022-03-15       00:12:27  073°15'23.9"W   45°19'46.3"N          338.1
           72.0         981.25          +1.94          70.69           15.2            238     2022-03-15       00:12:28  073°15'23.2"W   45°19'46.7"N          342.7
           73.0         980.69          +1.93          70.21           15.3            238     2022-03-15       00:12:29  073°15'22.6"W   45°19'47.0"N          347.3
           74.0         980.12          +1.94          69.83           15.3            238     2022-03-15       00:12:30  073°15'22.1"W   45°19'47.2"N          352.0
           75.0         979.55          +1.92          69.83           15.4            238     2022-03-15       00:12:31  073°15'21.5"W   45°19'47.4"N          356.7
           76.0         978.97          +1.91          70.27           15.4            238     2022-03-15       00:12:32  073°15'20.8"W   45°19'47.6"N          361.5
           77.0         978.39          +1.87          70.59           15.4            239     2022-03-15       00:12:33  073°15'20.2"W   45°19'47.9"N          366.2
           78.0         977.81          +1.81          70.95           15.5            239     2022-03-15       00:12:34  073°15'19.6"W   45°19'48.2"N          371.0
           79.0         977.23          +1.76          70.89           15.5            239     2022-03-15       00:12:35  073°15'19.0"W   45°19'48.5"N          375.8
           80.0         976.64          +1.72          70.78           15.5            239     2022-03-15       00:12:36  073°15'18.5"W   45°19'48.7"N          380.6
           81.0         976.06          +1.69          70.54           15.5            239     2022-03-15       00:12:37  073°15'17.8"W   45°19'48.9"N          385.5
           82.0         975.48          +1.68          70.09           15.5            240     2022-03-15       00:12:38  073°15'17.0"W   45°19'49.2"N          390.3
           83.0         974.89          +1.63          70.14           15.5            240     2022-03-15       00:12:39  073°15'16.4"W   45°19'49.5"N          395.1
           84.0         974.30          +1.61          70.19           15.5            240     2022-03-15       00:12:40  073°15'15.8"W   45°19'49.7"N          400.0
           85.0         973.71          +1.59          69.91           15.5            240     2022-03-15       00:12:41  073°15'15.2"W   45°19'49.9"N          404.9
           86.0         973.12          +1.55          70.06           15.5            240     2022-03-15       00:12:42  073°15'14.5"W   45°19'50.2"N          409.8
           87.0         972.52          +1.51          70.32           15.6            240     2022-03-15       00:12:43  073°15'13.9"W   45°19'50.5"N          414.7
           88.0         971.92          +1.46          70.79           15.7            241     2022-03-15       00:12:44  073°15'13.2"W   45°19'50.8"N          419.7
           89.0         971.31          +1.39          71.09           15.8            241     2022-03-15       00:12:45  073°15'12.7"W   45°19'51.0"N          424.8
           90.0         970.70          +1.35          71.08           15.7            241     2022-03-15       00:12:46  073°15'12.1"W   45°19'51.2"N          429.8
           91.0         970.09          +1.30          71.46           15.7            241     2022-03-15       00:12:47  073°15'11.4"W   45°19'51.4"N          434.9
           92.0         969.46          +1.26          71.69           15.7            241     2022-03-15       00:12:48  073°15'10.7"W   45°19'51.7"N          440.1
           93.0         968.84          +1.20          72.29           15.7            241     2022-03-15       00:12:49  073°15'10.0"W   45°19'52.0"N          445.3
           94.0         968.22          +1.13          72.75           15.8            242     2022-03-15       00:12:50  073°15'09.4"W   45°19'52.2"N          450.4
           95.0         967.59          +1.09          72.91           15.8            242     2022-03-15       00:12:51  073°15'08.8"W   45°19'52.4"N          455.6
           96.0         966.96          +1.04          72.96           15.7            242     2022-03-15       00:12:52  073°15'08.1"W   45°19'52.7"N          460.9
           97.0         966.34          +0.99          73.48           15.7            242     2022-03-15       00:12:53  073°15'07.5"W   45°19'53.0"N          466.1
           98.0         965.72          +0.91          73.73           15.8            242     2022-03-15       00:12:54  073°15'06.8"W   45°19'53.3"N          471.2
           99.0         965.10          +0.86          74.04           15.8            242     2022-03-15       00:12:55  073°15'06.3"W   45°19'53.5"N          476.4
          100.0         964.48          +0.81          74.27           15.9            242     2022-03-15       00:12:56  073°15'05.7"W   45°19'53.7"N          481.5
          101.0         963.87          +0.79          74.20           15.9            242     2022-03-15       00:12:57  073°15'05.0"W   45°19'53.9"N          486.6
          102.0         963.26          +0.76          74.25           15.8            243     2022-03-15       00:12:58  073°15'04.4"W   45°19'54.1"N          491.7
          103.0         962.66          +0.70          74.29           15.8            243     2022-03-15       00:12:59  073°15'03.8"W   45°19'54.2"N          496.7
          104.0         962.05          +0.63          74.68           15.8            243     2022-03-15       00:13:00  073°15'03.3"W   45°19'54.4"N          501.7
          105.0         961.46          +0.59          74.67           15.8            242     2022-03-15       00:13:01  073°15'02.8"W   45°19'54.7"N          506.7
          106.0         960.85          +0.54          74.77           15.8            243     2022-03-15       00:13:02  073°15'02.2"W   45°19'55.0"N          511.8
          107.0         960.25          +0.53          74.61           15.8            243     2022-03-15       00:13:03  073°15'01.4"W   45°19'55.3"N          516.8
          108.0         959.66          +0.51          74.44           15.8            243     2022-03-15       00:13:04  073°15'00.6"W   45°19'55.5"N          521.8
          109.0         959.06          +0.47          74.62           15.9            243     2022-03-15       00:13:05  073°14'59.9"W   45°19'55.7"N          526.8
          110.0         958.46          +0.42          74.87           15.9            244     2022-03-15       00:13:06  073°14'59.3"W   45°19'56.0"N          531.8
          111.0         957.87          +0.39          75.07           15.9            244     2022-03-15       00:13:07  073°14'58.6"W   45°19'56.2"N          536.7
          112.0         957.29          +0.35          75.21           15.9            243     2022-03-15       00:13:08  073°14'58.0"W   45°19'56.5"N          541.6
          113.0         956.70          +0.31          75.36           15.9            243     2022-03-15       00:13:09  073°14'57.2"W   45°19'56.7"N          546.5
          114.0         956.12          +0.26          75.19           15.9            243     2022-03-15       00:13:10  073°14'56.5"W   45°19'56.9"N          551.4
          115.0         955.54          +0.23          75.27           16.0            243     2022-03-15       00:13:11  073°14'55.9"W   45°19'57.1"N          556.2
          116.0         954.96          +0.20          75.71           16.0            244     2022-03-15       00:13:12  073°14'55.3"W   45°19'57.3"N          561.1
          117.0         954.39          +0.17          75.85           15.9            244     2022-03-15       00:13:13  073°14'54.7"W   45°19'57.6"N          565.9
          118.0         953.81          +0.13          75.88           16.0            244     2022-03-15       00:13:14  073°14'54.0"W   45°19'57.9"N          570.8
          119.0         953.23          +0.09          75.95           16.1            244     2022-03-15       00:13:15  073°14'53.3"W   45°19'58.1"N          575.7
          120.0         952.65          +0.08          75.53           16.2            244     2022-03-15       00:13:16  073°14'52.5"W   45°19'58.3"N          580.5
          121.0         952.07          +0.05          75.72           16.3            244     2022-03-15       00:13:17  073°14'51.9"W   45°19'58.4"N          585.4
          122.0         951.49          +0.02          76.02           16.4            245     2022-03-15       00:13:18  073°14'51.3"W   45°19'58.6"N          590.3
          123.0         950.90          -0.04          76.06           16.4            245     2022-03-15       00:13:19  073°14'50.6"W   45°19'58.9"N          595.2
          124.0         950.32          -0.08          76.41           16.5            245     2022-03-15       00:13:20  073°14'49.9"W   45°19'59.2"N          600.1
          125.0         949.74          -0.13          76.48           16.6            245     2022-03-15       00:13:21  073°14'49.3"W   45°19'59.4"N          605.0
          126.0         949.16          -0.17          76.82           16.7            245     2022-03-15       00:13:22  073°14'48.7"W   45°19'59.6"N          610.0
          127.0         948.56          -0.21          76.79           16.7            245     2022-03-15       00:13:23  073°14'48.0"W   45°19'59.8"N          615.0
          128.0         947.97          -0.25          77.01           16.6            245     2022-03-15       00:13:24  073°14'47.3"W   45°20'00.1"N          620.0
          129.0         947.38          -0.31          77.23           16.6            245     2022-03-15       00:13:25  073°14'46.5"W   45°20'00.2"N          625.0
          130.0         946.78          -0.36          77.45           16.7            245     2022-03-15       00:13:26  073°14'45.8"W   45°20'00.4"N          630.0
          131.0         946.18          -0.41          77.71           16.8            246     2022-03-15       00:13:27  073°14'45.1"W   45°20'00.6"N          635.1
          132.0         945.58          -0.44          77.99           16.8            246     2022-03-15       00:13:28  073°14'44.6"W   45°20'00.9"N          640.2
          133.0         944.97          -0.50          78.36           16.8            246     2022-03-15       00:13:29  073°14'43.9"W   45°20'01.2"N          645.3
          134.0         944.37          -0.56          78.88           16.9            246     2022-03-15       00:13:30  073°14'43.2"W   45°20'01.5"N          650.4
          135.0         943.77          -0.60          79.07           17.0            246     2022-03-15       00:13:31  073°14'42.4"W   45°20'01.7"N          655.5
          136.0         943.16          -0.64          79.27           17.1            246     2022-03-15       00:13:32  073°14'41.7"W   45°20'01.9"N          660.6
          137.0         942.55          -0.68          79.56           17.2            246     2022-03-15       00:13:33  073°14'41.1"W   45°20'02.1"N          665.8
          138.0         941.94          -0.74          79.99           17.2            246     2022-03-15       00:13:34  073°14'40.4"W   45°20'02.3"N          671.0
          139.0         941.32          -0.79          80.11           17.2            246     2022-03-15       00:13:35  073°14'39.6"W   45°20'02.6"N          676.2
          140.0         940.71          -0.84          80.21           17.3            246     2022-03-15       00:13:36  073°14'38.8"W   45°20'02.8"N          681.4
          141.0         940.09          -0.86          80.20           17.4            246     2022-03-15       00:13:37  073°14'38.0"W   45°20'03.0"N          686.7
          142.0         939.48          -0.88          80.12           17.5            246     2022-03-15       00:13:38  073°14'37.2"W   45°20'03.2"N          691.9
          143.0         938.87          -0.90          80.38           17.5            246     2022-03-15       00:13:39  073°14'36.5"W   45°20'03.4"N          697.1
          144.0         938.26          -0.95          80.39           17.6            246     2022-03-15       00:13:40  073°14'35.9"W   45°20'03.6"N          702.3
          145.0         937.64          -1.01          80.34           17.7            246     2022-03-15       00:13:41  073°14'35.1"W   45°20'03.9"N          707.5
          146.0         937.02          -1.05          80.62           17.9            246     2022-03-15       00:13:42  073°14'34.3"W   45°20'04.1"N          712.8
          147.0         936.40          -1.09          80.84           18.0            246     2022-03-15       00:13:43  073°14'33.6"W   45°20'04.4"N          718.1
          148.0         935.77          -1.12          80.75           18.1            247     2022-03-15       00:13:44  073°14'32.9"W   45°20'04.6"N          723.4
          149.0         935.15          -1.16          80.93           18.1            247     2022-03-15       00:13:45  073°14'32.1"W   45°20'04.9"N          728.7
          150.0         934.52          -1.24          81.24           18.1            247     2022-03-15       00:13:46  073°14'31.3"W   45°20'05.1"N          734.1
          151.0         933.90          -1.30          81.63           18.2            247     2022-03-15       00:13:47  073°14'30.4"W   45°20'05.2"N          739.4
          152.0         933.27          -1.37          81.63           18.4            248     2022-03-15       00:13:48  073°14'29.7"W   45°20'05.4"N          744.7
          153.0         932.65          -1.38          81.97           18.5            248     2022-03-15       00:13:49  073°14'29.0"W   45°20'05.6"N          750.1
          154.0         932.03          -1.37          81.85           18.6            249     2022-03-15       00:13:50  073°14'28.3"W   45°20'05.9"N          755.4
          155.0         931.40          -1.40          81.81           18.6            249     2022-03-15       00:13:51  073°14'27.4"W   45°20'06.2"N          760.7
          156.0         930.79          -1.44          81.91           18.7            249     2022-03-15       00:13:52  073°14'26.6"W   45°20'06.5"N          766.0
          157.0         930.17          -1.47          82.06           18.9            249     2022-03-15       00:13:53  073°14'25.8"W   45°20'06.7"N          771.3
          158.0         929.57          -1.52          82.11           19.0            249     2022-03-15       00:13:54  073°14'25.1"W   45°20'06.9"N          776.4
          159.0         928.97          -1.56          82.22           19.1            249     2022-03-15       00:13:55  073°14'24.4"W   45°20'07.2"N          781.6
          160.0         928.38          -1.60          82.31           19.1            249     2022-03-15       00:13:56  073°14'23.6"W   45°20'07.5"N          786.6
          161.0         927.79          -1.66          82.31           19.1            249     2022-03-15       00:13:57  073°14'22.8"W   45°20'07.7"N          791.6
          162.0         927.21          -1.67          82.72           19.1            249     2022-03-15       00:13:58  073°14'21.9"W   45°20'07.9"N          796.7
          163.0         926.62          -1.71          82.65           19.2            249     2022-03-15       00:13:59  073°14'21.1"W   45°20'08.1"N          801.7
          164.0         926.04          -1.74          82.41           19.3            250     2022-03-15       00:14:00  073°14'20.3"W   45°20'08.4"N          806.7
          165.0         925.45          -1.74          82.42           19.4            250     2022-03-15       00:14:01  073°14'19.5"W   45°20'08.7"N          811.8
          166.0         924.87          -1.75          82.00           19.4            250     2022-03-15       00:14:02  073°14'18.6"W   45°20'09.0"N          816.8
          167.0         924.29          -1.77          81.97           19.4            250     2022-03-15       00:14:03  073°14'17.7"W   45°20'09.2"N          821.8
          168.0         923.71          -1.82          82.45           19.5            250     2022-03-15       00:14:04  073°14'16.8"W   45°20'09.3"N          826.8
          169.0         923.12          -1.87          82.59           19.6            251     2022-03-15       00:14:05  073°14'16.0"W   45°20'09.4"N          831.8
          170.0         922.54          -1.91          82.89           19.7            251     2022-03-15       00:14:06  073°14'15.1"W   45°20'09.6"N          836.8
          171.0         921.96          -1.95          83.00           19.8            251     2022-03-15       00:14:07  073°14'14.2"W   45°20'09.8"N          841.9
          172.0         921.38          -1.98          82.66           20.0            250     2022-03-15       00:14:08  073°14'13.2"W   45°20'09.9"N          846.9
          173.0         920.81          -1.98          82.91           20.1            250     2022-03-15       00:14:09  073°14'12.2"W   45°20'10.1"N          851.8
          174.0         920.24          -1.98          82.27           20.2            251     2022-03-15       00:14:10  073°14'11.3"W   45°20'10.2"N          856.7
          175.0         919.67          -1.99          82.30           20.2            251     2022-03-15       00:14:11  073°14'10.5"W   45°20'10.5"N          861.6
          176.0         919.11          -2.00          81.91           20.2            251     2022-03-15       00:14:12  073°14'09.7"W   45°20'10.7"N          866.4
          177.0         918.56          -2.03          81.86           20.2            251     2022-03-15       00:14:13  073°14'08.8"W   45°20'11.0"N          871.3
          178.0         917.99          -2.04          81.85           20.3            251     2022-03-15       00:14:14  073°14'07.8"W   45°20'11.2"N          876.2
          179.0         917.42          -2.05          81.98           20.3            252     2022-03-15       00:14:15  073°14'06.8"W   45°20'11.4"N          881.1
          180.0         916.85          -2.08          82.19           20.3            252     2022-03-15       00:14:16  073°14'06.0"W   45°20'11.5"N          886.1
          181.0         916.28          -2.12          82.46           20.3            252     2022-03-15       00:14:17  073°14'05.2"W   45°20'11.7"N          891.0
          182.0         915.71          -2.16          82.78           20.4            252     2022-03-15       00:14:18  073°14'04.4"W   45°20'12.0"N          896.0
          183.0         915.13          -2.20          82.64           20.5            252     2022-03-15       00:14:19  073°14'03.5"W   45°20'12.1"N          900.9
          184.0         914.56          -2.23          82.40           20.5            252     2022-03-15       00:14:20  073°14'02.6"W   45°20'12.3"N          905.9
          185.0         913.98          -2.26          82.47           20.5            253     2022-03-15       00:14:21  073°14'01.7"W   45°20'12.5"N          911.0
          186.0         913.40          -2.26          82.53           20.5            253     2022-03-15       00:14:22  073°14'00.8"W   45°20'12.7"N          916.0
          187.0         912.82          -2.29          82.81           20.4            253     2022-03-15       00:14:23  073°14'00.0"W   45°20'12.9"N          921.1
          188.0         912.23          -2.33          83.14           20.5            252     2022-03-15       00:14:24  073°13'59.1"W   45°20'13.1"N          926.1
          189.0         911.65          -2.39          83.24           20.6            252     2022-03-15       00:14:25  073°13'58.2"W   45°20'13.2"N          931.2
          190.0         911.06          -2.41          83.64           20.7            252     2022-03-15       00:14:26  073°13'57.1"W   45°20'13.4"N          936.3
          191.0         910.47          -2.46          83.30           20.7            252     2022-03-15       00:14:27  073°13'56.1"W   45°20'13.7"N          941.5
          192.0         909.89          -2.48          83.69           20.6            252     2022-03-15       00:14:28  073°13'55.1"W   45°20'14.1"N          946.6
          193.0         909.31          -2.51          83.76           20.5            252     2022-03-15       00:14:29  073°13'54.1"W   45°20'14.4"N          951.7
          194.0         908.72          -2.52          84.45           20.4            252     2022-03-15       00:14:30  073°13'53.2"W   45°20'14.6"N          956.7
          195.0         908.14          -2.54          84.29           20.5            252     2022-03-15       00:14:31  073°13'52.3"W   45°20'14.7"N          961.9
          196.0         907.56          -2.57          84.45           20.5            252     2022-03-15       00:14:32  073°13'51.4"W   45°20'14.9"N          966.9
          197.0         906.98          -2.59          84.08           20.5            253     2022-03-15       00:14:33  073°13'50.5"W   45°20'15.1"N          972.0
          198.0         906.39          -2.61          83.33           20.5            253     2022-03-15       00:14:34  073°13'49.7"W   45°20'15.3"N          977.1
          199.0         905.80          -2.62          83.28           20.4            253     2022-03-15       00:14:35  073°13'48.9"W   45°20'15.5"N          982.3
          200.0         905.22          -2.61          82.89           20.5            253     2022-03-15       00:14:36  073°13'48.1"W   45°20'15.8"N          987.4
          201.0         904.63          -2.62          82.72           20.6            253     2022-03-15       00:14:37  073°13'47.3"W   45°20'16.0"N          992.5
          202.0         904.04          -2.64          82.65           20.6            253     2022-03-15       00:14:38  073°13'46.4"W   45°20'16.3"N          997.7
          203.0         903.46          -2.63          82.21           20.7            253     2022-03-15       00:14:39  073°13'45.4"W   45°20'16.5"N         1002.8
          204.0         902.89          -2.66          81.67           20.7            254     2022-03-15       00:14:40  073°13'44.4"W   45°20'16.6"N         1007.8
          205.0         902.31          -2.70          81.93           20.7            254     2022-03-15       00:14:41  073°13'43.5"W   45°20'16.7"N         1012.9
          206.0         901.74          -2.72          81.89           20.8            253     2022-03-15       00:14:42  073°13'42.6"W   45°20'16.8"N         1017.9
          207.0         901.16          -2.75          81.60           20.8            253     2022-03-15       00:14:43  073°13'41.8"W   45°20'17.1"N         1023.0
          208.0         900.59          -2.79          82.13           20.7            253     2022-03-15       00:14:44  073°13'40.8"W   45°20'17.3"N         1028.1
          209.0         900.00          -2.85          82.51           20.6            253     2022-03-15       00:14:45  073°13'39.8"W   45°20'17.6"N         1033.2
          210.0         899.42          -2.89          82.62           20.5            253     2022-03-15       00:14:46  073°13'38.8"W   45°20'17.7"N         1038.3
          211.0         898.84          -2.93          82.67           20.4            254     2022-03-15       00:14:47  073°13'37.9"W   45°20'17.9"N         1043.5
          212.0         898.26          -2.97          82.83           20.2            254     2022-03-15       00:14:48  073°13'37.1"W   45°20'18.0"N         1048.6
          213.0         897.67          -3.01          82.93           20.2            254     2022-03-15       00:14:49  073°13'36.4"W   45°20'18.2"N         1053.8
          214.0         897.08          -3.05          83.05           20.1            254     2022-03-15       00:14:50  073°13'35.6"W   45°20'18.4"N         1059.0
          215.0         896.50          -3.08          83.25           20.2            254     2022-03-15       00:14:51  073°13'34.6"W   45°20'18.6"N         1064.1
          216.0         895.92          -3.12          83.05           20.3            254     2022-03-15       00:14:52  073°13'33.7"W   45°20'18.8"N         1069.3
          217.0         895.33          -3.15          83.28           20.4            254     2022-03-15       00:14:53  073°13'32.7"W   45°20'18.9"N         1074.5
          218.0         894.74          -3.21          83.51           20.4            254     2022-03-15       00:14:54  073°13'31.8"W   45°20'19.1"N         1079.6
          219.0         894.16          -3.26          83.50           20.5            254     2022-03-15       00:14:55  073°13'31.0"W   45°20'19.3"N         1084.8
          220.0         893.58          -3.30          83.63           20.5            255     2022-03-15       00:14:56  073°13'30.0"W   45°20'19.5"N         1090.0
          221.0         892.99          -3.34          83.19           20.5            255     2022-03-15       00:14:57  073°13'29.0"W   45°20'19.6"N         1095.2
          222.0         892.40          -3.33          83.09           20.6            255     2022-03-15       00:14:58  073°13'28.0"W   45°20'19.7"N         1100.4
          223.0         891.80          -3.36          82.45           20.6            256     2022-03-15       00:14:59  073°13'27.0"W   45°20'19.8"N         1105.7
          224.0         891.22          -3.39          82.66           20.6            256     2022-03-15       00:15:00  073°13'26.1"W   45°20'19.9"N         1110.9
