Stn#,Station Name             ,Nearby City,County,Lat.,Long.,Elev.,Start Date,End Date
1,Fresno/F.S.U. USDA       ,Fresno              ,Fresno              ,36.81,-119.73,340,06/07/82,09/25/88
2,FivePoints/WSFS USDA     ,Five Points         ,Fresno              ,36.34,-120.11,285,06/07/82,    -----
3,Beach /Santa Cruz CO     ,Watsonville         ,Santa Cruz          ,36.88,-121.79,10,05/30/82,08/25/86
4,Webb /Santa Cruz CO      ,Watsonville         ,Santa Cruz          ,36.97,-121.73,230,05/30/82,04/29/88
5,Shafter/USDA             ,Shafter             ,Kern                ,35.53,-119.28,360,06/01/82,    -----
6,Davis                    ,Davis               ,Yolo                ,38.54,-121.78,60,07/17/82,    -----
7,Firebaugh/Telles         ,Firebaugh           ,Fresno              ,36.85,-120.59,185,09/22/82,    -----
8,Gerber                   ,Gerber              ,Tehama              ,40.05,-122.16,250,09/22/82,    -----
9,Lamont                   ,LaMont              ,Kern                ,35.24,-118.89,406,09/29/82,04/10/89
10,Bakersfield/Greenlee     ,Mettler Station     ,Kern                ,35.08,-119.08,400,10/01/82,04/16/86
11,Bakersfield/Bonanza      ,Conner              ,Kern                ,35.16,-119.18,290,09/29/82,04/17/86
12,Durham                   ,Chico               ,Butte               ,39.61,-121.82,130,10/19/82,    -----
13,Camino                   ,Placerville         ,El Dorado           ,38.75,-120.73,2780,10/19/82,    -----
14,Orland (inactive)        ,Orland              ,Glenn               ,39.74,-122.17,235,10/30/82,04/21/87
15,Stratford                ,Stratford           ,Kings               ,36.16,-119.85,193,10/29/82,    -----
16,San Juan                 ,Watsonville         ,Monterey            ,36.91,-121.70,44,10/23/82,08/24/95
17,El Centro                ,Meloland            ,Imperial            ,32.85,-115.45,-86,11/08/82,05/27/87
18,Westmorland              ,Westmorland         ,Imperial            ,33.08,-115.61,-195,11/11/82,04/09/86
19,Castroville              ,Castroville         ,Monterey            ,36.77,-121.77,9,11/18/82,    -----
20,Corcoran                 ,Corcoran            ,Kings               ,36.04,-119.57,190,11/22/82,04/09/86
21,Kettleman                ,Kettleman City      ,Kings               ,35.87,-119.89,340,11/19/82,    -----
22,Caruthers                ,Laton               ,Kings               ,36.49,-119.78,238,11/18/82,06/06/88
23,King City                ,King City           ,Monterey            ,36.17,-121.12,300,11/19/82,12/23/85
24,Thermal (inactive)       ,Thermal             ,Riverside           ,33.63,-116.11,-120,11/22/82,03/03/86
25,Rancho Mirage            ,Rancho Mirage       ,Riverside           ,33.76,-116.42,240,11/22/82,11/20/85
26,Lost Hills               ,Lost Hills          ,Kern                ,35.51,-119.69,410,11/29/82,08/13/86
27,Zamora                   ,Woodland            ,Yolo                ,38.81,-121.91,50,12/05/82,    -----
28,Soledad                  ,Soledad             ,Monterey            ,36.45,-121.36,170,01/04/83,02/11/87
29,Cantua Creek             ,Cantua Creek        ,Fresno              ,36.52,-120.31,275,01/02/83,07/23/85
30,Nicolaus                 ,Nicolaus            ,Sutter              ,38.87,-121.55,32,01/03/83,    -----
31,McFarland/Kern Farms     ,McFarland           ,Kern                ,35.70,-119.15,480,01/11/83,03/08/93
32,Colusa                   ,Colusa              ,Colusa              ,39.23,-122.02,55,01/13/83,    -----
33,Visalia/ICI Americas     ,Visalia             ,Tulare              ,36.30,-119.22,350,01/05/83,    -----
34,Rancho California        ,Rancho California   ,Riverside           ,33.49,-117.20,1820,01/21/83,11/25/86
35,Bishop                   ,Bishop              ,Inyo                ,37.36,-118.40,4170,02/04/83,    -----
36,Blythe                   ,Blythe              ,Riverside           ,33.66,-114.56,270,03/13/83,08/12/88
37,USDA Salinas             ,Salinas             ,Monterey            ,36.62,-121.55,120,04/11/83,07/27/92
38,Santa Maria              ,Santa Maria         ,Santa Barbara       ,34.95,-120.38,270,05/03/83,04/27/99
39,Parlier                  ,Parlier             ,Fresno              ,36.60,-119.50,337,05/23/83,    -----
40,Mendota/MuriettaUSDA     ,Mendota             ,Fresno              ,36.68,-120.39,187,06/14/83,04/15/92
41,Calipatria/Mulberry      ,Calipatria          ,Imperial            ,33.04,-115.42,-110,07/17/83,    -----
42,Lodi                     ,Lodi                ,San Joaquin         ,38.11,-121.35,23,10/16/83,01/18/01
43,McArthur                 ,Glenburn            ,Shasta              ,41.07,-121.45,3310,10/31/83,    -----
44,U.C. Riverside           ,Riverside           ,Riverside           ,33.97,-117.34,1020,06/02/85,    -----
45,San Diego                ,San Diego           ,San Diego           ,32.79,-117.14,370,06/09/85,04/27/89
46,MacDoel                  ,MacDoel             ,Siskiyou            ,41.79,-122.06,4254,11/11/85,06/11/86
47,Brentwood                ,Brentwood           ,Contra Costa        ,37.93,-121.66,45,11/18/85,    -----
48,Tulelake                 ,Tulelake            ,Siskiyou            ,42.00,-121.43,4042,02/03/86,09/30/93
49,Oceanside                ,Oceanside           ,San Diego           ,33.26,-117.32,50,03/11/86,10/29/03
50,Thermal                  ,Thermal             ,Riverside           ,33.65,-116.24,-30,07/22/86,01/11/99
51,Healdsburg               ,Healdsburg          ,Sonoma              ,38.66,-122.87,180,08/24/86,03/28/94
